Name of the drug	Lower Gestational age	Upper Gestational age	Lower Postnatal age	Upper Postnatal age	Condition	Min Dose	Max Dose	Unit	Dose/Days	Frequency	ROA	Infusion rate	solution compatability 	Lower Weight	Upper Weight
Clindamycin			0	30	Serious Infections (Caused by Susceptible Strains of Designated Organisms in Certain Conditions)	15	20	mg/kg	day	divided into 3 to 4 equal doses	IV	"Infuse IV over 10 to 60 minutes, not to exceed 30 mg/min"	"D5W, D10W, and NS."		
Clindamycin	0	32			Serious Infections (Caused by Susceptible Strains of Designated Organisms in Certain Conditions)	5		mg/kg	dose	every 8 hours	IV	"Infuse IV over 10 to 60 minutes, not to exceed 30 mg/min"	"D5W, D10W, and NS."		
Clindamycin	32	40			Serious Infections (Caused by Susceptible Strains of Designated Organisms in Certain Conditions)	7		mg/kg	dose	every 8 hours	IV	"Infuse IV over 10 to 60 minutes, not to exceed 30 mg/min"	"D5W, D10W, and NS."		
Clindamycin	32	34	0	7	Anthrax	5		mg/kg	dose	every 12 hours	IV/orally	"Infuse IV over 10 to 60 minutes, not to exceed 30 mg/min"	"D5W, D10W, and NS."		
Clindamycin	32	34	8	28	Anthrax	5		mg/kg	dose	every 8 hours	IV/orally	"Infuse IV over 10 to 60 minutes, not to exceed 30 mg/min"	"D5W, D10W, and NS."		
Clindamycin	34	100	0	7	Anthrax	5		mg/kg	dose	every 8 hours	IV/orally	"Infuse IV over 10 to 60 minutes, not to exceed 30 mg/min"	"D5W, D10W, and NS."		
Clindamycin	34	100	8	28	Anthrax	5		mg/kg	dose	every 6 hours	IV/orally	"Infuse IV over 10 to 60 minutes, not to exceed 30 mg/min"	"D5W, D10W, and NS."		
Colistin					Gram-negative infections	2.5	5	mg/kg	Day	"divided in 2 to 4  doses, depending on severity of infection"		"starting 1 to 2 hours after the initial dose, over the next 22 to 23 hours."	"NS, D5NS, D5?0.45%NS, D5W"		
Colistin	0	38	0	13		5		mg/kg	day		IV or IM 	"starting 1 to 2 hours after the initial dose, over the next 22 to 23 hours."	"NS, D5NS, D5?0.45%NS, D5W"		
Dalbavancin					Acute bacterial skin and skin structure infection (ABSSSI)	22.5		mg/kg	dose	"single dose,max1500/dose"	IV	Administer over 30 minutes	sterile water for injection or D5W		
Erythromycin					Severe infections when oral route unavailable	5	10	mg/kg	Dose	every 6 hours	IV	 infusion by syringe pump over at least 60 minutes	NS and sterile water for injection.		
Gentamicin	0	29	0	7		5		mg/kg	Dose	Every 48 hours	IV	Infuse over a period of 30 to 120 minutes using a concentration of 2 mg/mL or 10 mg/mL	"D5W, D10W, and NS."		
Gentamicin	0	29	8	28		4		mg/kg	Dose	Every 38 hours	IV	Infuse over a period of 30 to 120 minutes using a concentration of 2 mg/mL or 10 mg/mL	"D5W, D10W, and NS."		
Gentamicin	0	29	29	100		4		mg/kg	Dose	Every 24 hours	IV	Infuse over a period of 30 to 120 minutes using a concentration of 2 mg/mL or 10 mg/mL	"D5W, D10W, and NS."		
Gentamicin	30	34	0	7		4.5		mg/kg	Dose	Every 36hours	IV	Infuse over a period of 30 to 120 minutes using a concentration of 2 mg/mL or 10 mg/mL	"D5W, D10W, and NS."		
Gentamicin	30	34	8	500		4		mg/kg	Dose	Every 24hours	IV	Infuse over a period of 30 to 120 minutes using a concentration of 2 mg/mL or 10 mg/mL	"D5W, D10W, and NS."		
Gentamicin	35	100				4		mg/kg	Dose	Every 24 hours	IV	Infuse over a period of 30 to 120 minutes using a concentration of 2 mg/mL or 10 mg/mL	"D5W, D10W, and NS."		
Cefazolin	0	29	0	28		25		mg/kg	Dose	Every 12 hours	IV or IM	"For IV bolus injection, inject slowly over 3 to 5 minutes at a concentration of 100 mg/mL. For iv infusion concentration 5 to 20 mg/ml.  For IM injection use concentration of 225mg/ml. Maximum 330 mg/mL."	"D5W, D10W, and NS."		
Cefazolin	0	29	28	500		25		mg/kg	Dose	Every 8 hours	IV or IM	"For IV bolus injection, inject slowly over 3 to 5 minutes at a concentration of 100 mg/mL. For iv infusion concentration 5 to 20 mg/ml.  For IM injection use concentration of 225mg/ml. Maximum 330 mg/mL."	"D5W, D10W, and NS."		
Cefazolin	30	36	0	14		25		mg/kg	Dose	Every 12 hours	IV or IM	"For IV bolus injection, inject slowly over 3 to 5 minutes at a concentration of 100 mg/mL. For iv infusion concentration 5 to 20 mg/ml.  For IM injection use concentration of 225mg/ml. Maximum 330 mg/mL."	"D5W, D10W, and NS."		
Cefazolin	30	36	14	500		25		mg/kg	Dose	Every 8 hours	IV or IM	"For IV bolus injection, inject slowly over 3 to 5 minutes at a concentration of 100 mg/mL. For iv infusion concentration 5 to 20 mg/ml.  For IM injection use concentration of 225mg/ml. Maximum 330 mg/mL."	"D5W, D10W, and NS."		
Cefazolin	37	44	0	7		25		mg/kg	Dose	Every 12 hours	IV or IM	"For IV bolus injection, inject slowly over 3 to 5 minutes at a concentration of 100 mg/mL. For iv infusion concentration 5 to 20 mg/ml.  For IM injection use concentration of 225mg/ml. Maximum 330 mg/mL."	"D5W, D10W, and NS."		
Cefazolin	37	44	7	500		25		mg/kg	Dose	Every 8 hours	IV or IM	"For IV bolus injection, inject slowly over 3 to 5 minutes at a concentration of 100 mg/mL. For iv infusion concentration 5 to 20 mg/ml.  For IM injection use concentration of 225mg/ml. Maximum 330 mg/mL."	"D5W, D10W, and NS."		
Cefazolin	45	100	0	500		25		mg/kg	Dose	Every 6 hours	IV or IM	"For IV bolus injection, inject slowly over 3 to 5 minutes at a concentration of 100 mg/mL. For iv infusion concentration 5 to 20 mg/ml.  For IM injection use concentration of 225mg/ml. Maximum 330 mg/mL."	"D5W, D10W, and NS."		
Cefepime 			0	28		30		mg/kg	Dose	Every 12 hours	IV	?V infusion in a compatible solution over 30 minutes at a concentration of 1 to 100 mg/mL.	"D5W, D10W, D5LR, D5NS, and NS."		
Cefepime 			29	500		50		mg/kg	Dose	Every 12 hours	IV	?V infusion in a compatible solution over 30 minutes at a concentration of 1 to 100 mg/mL.	"D5W, D10W, D5LR, D5NS, and NS."		
Cefepime 					Meningitis and severe infections due to Pseudomonas aeruginosa or Enterobacter spp	50		mg/kg	Dose	Every 12 hours	IV	?V infusion in a compatible solution over 30 minutes at a concentration of 1 to 100 mg/mL.	"D5W, D10W, D5LR, D5NS, and NS."		
Cefoxitin						90	100	mg/kg	Day	Every 8 hours	IV	IV infusion at a concentration of 10 to 40 mg/mL over 15 to 60 minutes	"D5W, D10W, and NS."		
Meropenem	34	39	0	7	Anthrax; meningitis or disseminated infection and meningitis cannot be ruled out?(as part of a triple therapy regimen)	20		mg/kg	Dose	Every 8 hours	IV	Administer as an IV infusion over 30 minutes at a concentration of 1 to 20 mg/mL	"D5W, D10W, and NS."		
Meropenem	34	39	8	28	Anthrax; meningitis or disseminated infection and meningitis cannot be ruled out?(as part of a triple therapy regimen)	30		mg/kg	Dose	Every 8 hours	IV	Administer as an IV infusion over 30 minutes at a concentration of 1 to 20 mg/mL	"D5W, D10W, and NS."		
Meropenem	32	34	0	7	Anthrax; meningitis ruled out (as part of a combination - regimen)	13		mg/kg	Dose	Every 8 hours	IV	Administer as an IV infusion over 30 minutes at a concentration of 1 to 20 mg/mL	"D5W, D10W, and NS."		
Meropenem	32	34	8	28	Anthrax; meningitis ruled out (as part of a combination - regimen)	20		mg/kg	Dose	Every 8 hours	IV	Administer as an IV infusion over 30 minutes at a concentration of 1 to 20 mg/mL	"D5W, D10W, and NS."		
Meropenem	34	100	0	28	Anthrax; meningitis ruled out (as part of a combination - regimen)	20		mg/kg	Dose	Every 8 hours	IV	Administer as an IV infusion over 30 minutes at a concentration of 1 to 20 mg/mL	"D5W, D10W, and NS."		
Meropenem	0	32	0	14	ntra-abdominal and non-CNS infections	20		mg/kg	Dose	Every 12 hours	IV	Administer as an IV infusion over 30 minutes at a concentration of 1 to 20 mg/mL	"D5W, D10W, and NS."		
Meropenem	0	32	14	500	ntra-abdominal and non-CNS infections	20		mg/kg	Dose	Every 8 hours	IV	Administer as an IV infusion over 30 minutes at a concentration of 1 to 20 mg/mL	"D5W, D10W, and NS."		
Meropenem	32	100	0	14	ntra-abdominal and non-CNS infections	20		mg/kg	Dose	Every 8 hours	IV	Administer as an IV infusion over 30 minutes at a concentration of 1 to 20 mg/mL	"D5W, D10W, and NS."		
Meropenem	32	100	14	500	ntra-abdominal and non-CNS infections	30		mg/kg	Dose	Every 8 hours	IV	Administer as an IV infusion over 30 minutes at a concentration of 1 to 20 mg/mL	"D5W, D10W, and NS."		
Nafcillin	0	29	0	28	Usual dosage	25		mg/kg	Dose	Every 12 hours	IV	Dilute dose with sterile water for injection or NS to a concentration of 40 mg/mL and administer over 5 to 10 minutes or dilute to a concentration of 20 to 40 mg/mL and infuse over 30 to 60 minutes	"D5W, D10W, and NS."		
Nafcillin	0	29	29	500	Usual dosage	25		mg/kg	Dose	Every 8 hours	IV	Dilute dose with sterile water for injection or NS to a concentration of 40 mg/mL and administer over 5 to 10 minutes or dilute to a concentration of 20 to 40 mg/mL and infuse over 30 to 60 minutes	"D5W, D10W, and NS."		
Nafcillin	30	36	0	14	Usual dosage	25		mg/kg	Dose	Every 12 hours	IV	Dilute dose with sterile water for injection or NS to a concentration of 40 mg/mL and administer over 5 to 10 minutes or dilute to a concentration of 20 to 40 mg/mL and infuse over 30 to 60 minutes	"D5W, D10W, and NS."		
Nafcillin	30	36	15	500	Usual dosage	25		mg/kg	Dose	Every 8 hours	IV	Dilute dose with sterile water for injection or NS to a concentration of 40 mg/mL and administer over 5 to 10 minutes or dilute to a concentration of 20 to 40 mg/mL and infuse over 30 to 60 minutes	"D5W, D10W, and NS."		
Nafcillin	37	44	0	7	Usual dosage	25		mg/kg	Dose	Every 12 hours	IV	Dilute dose with sterile water for injection or NS to a concentration of 40 mg/mL and administer over 5 to 10 minutes or dilute to a concentration of 20 to 40 mg/mL and infuse over 30 to 60 minutes	"D5W, D10W, and NS."		
Nafcillin	37	44	8	500	Usual dosage	25		mg/kg	Dose	Every 8 hours	IV	Dilute dose with sterile water for injection or NS to a concentration of 40 mg/mL and administer over 5 to 10 minutes or dilute to a concentration of 20 to 40 mg/mL and infuse over 30 to 60 minutes	"D5W, D10W, and NS."		
Nafcillin	45	100	0	500	Usual dosage	25		mg/kg	Dose	Every 6 hourly	IV	Dilute dose with sterile water for injection or NS to a concentration of 40 mg/mL and administer over 5 to 10 minutes or dilute to a concentration of 20 to 40 mg/mL and infuse over 30 to 60 minutes	"D5W, D10W, and NS."		
Nafcillin	0	29	0	28	Meningitis	50		mg/kg	Dose	Every 12 hourly	IV	Dilute dose with sterile water for injection or NS to a concentration of 40 mg/mL and administer over 5 to 10 minutes or dilute to a concentration of 20 to 40 mg/mL and infuse over 30 to 60 minutes	"D5W, D10W, and NS."		
Nafcillin	0	29	29	500	Meningitis	50		mg/kg	Dose	Every 8 hourly	IV	Dilute dose with sterile water for injection or NS to a concentration of 40 mg/mL and administer over 5 to 10 minutes or dilute to a concentration of 20 to 40 mg/mL and infuse over 30 to 60 minutes	"D5W, D10W, and NS."		
Nafcillin	30	36	0	14	Meningitis	50		mg/kg	Dose	Every 12 hourly	IV	Dilute dose with sterile water for injection or NS to a concentration of 40 mg/mL and administer over 5 to 10 minutes or dilute to a concentration of 20 to 40 mg/mL and infuse over 30 to 60 minutes	"D5W, D10W, and NS."		
Nafcillin	30	36	15	500	Meningitis	50		mg/kg	Dose	Every 8 hourly	IV	Dilute dose with sterile water for injection or NS to a concentration of 40 mg/mL and administer over 5 to 10 minutes or dilute to a concentration of 20 to 40 mg/mL and infuse over 30 to 60 minutes	"D5W, D10W, and NS."		
Nafcillin	37	44	0	7	Meningitis	50		mg/kg	Dose	Every 12 hourly	IV	Dilute dose with sterile water for injection or NS to a concentration of 40 mg/mL and administer over 5 to 10 minutes or dilute to a concentration of 20 to 40 mg/mL and infuse over 30 to 60 minutes	"D5W, D10W, and NS."		
Nafcillin	37	44	8	500	Meningitis	50		mg/kg	Dose	Every 8 hourly	IV	Dilute dose with sterile water for injection or NS to a concentration of 40 mg/mL and administer over 5 to 10 minutes or dilute to a concentration of 20 to 40 mg/mL and infuse over 30 to 60 minutes	"D5W, D10W, and NS."		
